sample	site
S1	site3
S2	site3
S3	site3
S4	site3
S5	site3
S6	site3
S7	site3
S8	site3
S9	site3
S10	site3
S11	site3
S12	site3
S13	site3
S14	site3
S15	site2
S16	site2
S17	site2
S18	site2
S19	site2
S20	site2
S21	site2
S22	site2
S23	site2
S24	site2
S25	site2
S26	site2
S27	site2
S28	site2
S29	site1
S30	site1
S31	site1
S32	site1
S33	site1
S34	site1
S35	site1
S36	site1
S37	site1
S38	site1
S39	site1
S40	site1
S41	site1
S42	site1
S43	site3
S44	site3
S45	site3
S46	site3
S47	site3
S48	site3
S49	site3
S50	site3
S51	site3
S52	site3
S53	site3
S54	site3
S55	site3
S56	site3
S57	site1
S58	site1
S59	site1
S60	site1
S61	site1
S62	site1
S63	site1
S64	site1
S65	site1
S66	site1
S67	site1
S68	site1
S69	site1
S70	site1
S71	site2
S72	site2
S73	site2
S74	site2
S75	site2
S76	site2
S77	site2
S78	site2
S79	site2
S80	site2
S81	site2
S82	site2
S83	site2
S84	site2
S85	site3
S86	site3
S87	site3
S88	site3
S89	site3
S90	site3
S91	site3
S92	site2
S93	site2
S94	site2
S95	site2
S96	site2
S97	site2
S98	site2
S99	site1
S100	site1
S101	site1
S102	site1
S103	site1
S104	site1
S105	site1
S106	site3
S107	site3
S108	site3
S109	site3
S110	site3
S111	site3
S112	site3
S113	site2
S114	site2
S115	site2
S116	site2
S117	site2
S118	site2
S119	site2
S120	site1
S121	site1
S122	site1
S123	site1
S124	site1
S125	site1
S126	site1
